Delegaciones,,2002,2003,2005,2006,2007,2008*** ,2009*** ,2010*** ,2011*** ,2012*** ,2013*** ,2014*** ,2015*** ,2016*** 
Total,,715185,551303,72547,18887,36140,218722,190644,167212,128325,63835,71803,54718,82355,59148
     Aguascalientes,,14688,15519,10,63,5871,9064,8688,2366,5,68,8,1,76,148
     Baja California,,22076,23837,500,1118,432,477,7513,22851,38605,17882,7829,6014,7715,6221
     Baja California Sur,,4759,5768,6633,914,18,335,42,10,2,11,6,3,273,730
     Campeche,,3311,3840,3276,151,,2,,2,1,1,,4,17,59
     Coahuila ,,44318,29140,12530,2664,2346,9180,7190,3127,2186,2384,1865,1281,2442,4137
     Colima,,3923,3139,45,31,479,873,1142,1144,959,79,70,43,789,408
     Chiapas,,17120,18657,360,82,7,4,4,5,10,35,3,5,10,7
     Chihuahua,,51893,40764,9410,4195,1864,2110,801,2306,1680,161,210,153,240,485
     D.F. Norte,,4419,4361,750,322,278,1832,6881,8193,6143,7746,7894,10535,4844,1526
     D.F. Sur,,77473,13568,1280,250,31,56856,48052,22097,13718,927,2136,2724,3678,3372
     Durango,,9500,9705,18,55,2,24,43,43,8,56,34,81,140,250
     Guanajuato,,48394,32272,250,201,16,18195,16803,9008,4296,370,1023,963,2306,2929
     Guerrero,,10531,15335,5274,62,11,7,8,13,10,7,5,210,784,832
     Hidalgo,,2362,4582,60,58,5,34,53,14,15,6,125,249,1860,1098
     Jalisco,,30690,13896,1190,607,558,4209,2999,4227,3995,1935,2228,1584,8896,5164
     México Oriente,,3254,1495,970,401,99,91,171,82,61,271,386,316,1317,1249
     México Poniente,,1294,1392,81,181,43,18,1,35,12,1536,1262,162,536,407
     Michoacán,,16203,5643,2007,483,10,2793,1006,1387,740,29,259,195,2342,1066
     Morelos,,8625,4687,100,322,3575,2291,82,18,30,37,395,295,712,774
     Nayarit,,3717,3416,72,33,1,4,2,9,10,31,83,66,20,185
     Nuevo León,,108692,94390,150,585,1214,39859,9735,4245,619,308,2704,1243,2735,5003
     Oaxaca,,8252,12274,117,216,836,1115,1581,893,477,8,11,70,90,209
     Puebla,,31965,34880,261,155,25,18494,10986,9056,8023,1084,831,766,1028,525
     Querétaro,,12266,12337,40,113,1,7708,6362,3950,3287,100,507,264,516,591
     Quintana Roo,,23775,24525,16011,1465,2753,2763,3961,4157,4625,7,45,8,90,612
     San Luis Potosí,,19931,16332,160,1112,1079,1802,158,136,16,7,55,88,119,66
     Sinaloa,,9214,27117,1830,370,259,274,183,56,75,866,2897,3088,5309,4928
     Sonora,,29857,21097,140,192,13408,12540,10982,2462,58,108,336,273,539,421
     Tabasco,,1990,3188,180,605,623,291,23,463,387,3106,7554,5710,4970,4204
     Tamaulipas,,30848,5368,3770,1049,43,12545,17197,25627,11588,5167,4514,3310,1812,1864
     Tlaxcala,,6263,3920,45,24,1,1226,183,,,3,,3,1218,148
     Veracruz Norte,,10739,11520,410,143,15,8284,25282,36914,21455,19285,26157,14475,23935,8291
     Veracruz Sur,,16038,9089,3042,154,24,13,5,4,14,22,72,68,561,817
     Yucatán,,8350,2573,1494,307,212,489,114,136,250,116,122,301,260,246
     Zacatecas,,18455,21677,81,204,1,2920,2411,2176,4965,76,177,167,176,176
